time,x,y
8/25/2022,13.45499992,3376860
8/26/2022,13.41499996,3721033
8/29/2022,13.43000031,2852176
8/30/2022,13.69999981,4697032
8/31/2022,13.19499969,11072717
9/1/2022,12.86499977,3803212
9/2/2022,12.99499989,4960994
9/5/2022,13.34000015,4975330
9/6/2022,13.82999992,4309713
9/7/2022,13.55000019,7808306
9/8/2022,13.03499985,4422489
9/9/2022,12.85000038,3273872
9/12/2022,13.10999966,11615075
9/13/2022,13.23499966,6020883
9/14/2022,12.80000019,5583192
9/15/2022,12.88000011,9196798
9/16/2022,12.30000019,14716127
9/19/2022,11.85999966,4629897
9/20/2022,12.11499977,4279604
9/21/2022,12.04500008,7811223
9/22/2022,11.80500031,4370197
9/23/2022,11.875,7004593
9/26/2022,11.08500004,5753260
9/27/2022,11.32999992,5206047
9/28/2022,11.46500015,5625187
9/29/2022,11.85999966,4946081
9/30/2022,11.83500004,4074554
10/3/2022,11.84000015,4660644
10/4/2022,12.31999969,6618752
10/5/2022,12.38000011,5219275
10/6/2022,12.63000011,4748670
10/7/2022,12.72000027,3655522
10/10/2022,12.55000019,3522891
10/11/2022,12.30000019,5712538
10/12/2022,12.27499962,4330140
10/13/2022,12.09500027,4147834
10/14/2022,12.79500008,5201312
10/17/2022,12.51000023,5589988
10/18/2022,12.80000019,3729074
10/19/2022,12.77000046,3391156
10/20/2022,12.94999981,4438711
10/21/2022,13.14999962,4579057
10/24/2022,13.15499973,3956501
10/25/2022,13.34000015,6668012
